New Tree Number,Tree Number,Site,Seed Zone,Date Measured,Tree Height (cm),Tree Diameter (mm),Health,Comment,Year Measured,Elk Browse
19,143,Swan Creek,WA,6/7/2024,112,19.3,Alive,,2024,
,144,Swan Creek,WA,6/7/2024,92,13.3,Dead,,2024,
,145,Swan Creek,WA,6/7/2024,102,17,Dead,,2024,
,146,Swan Creek,WA,6/7/2024,132,24.9,Dead,,2024,
27,147,Swan Creek,WA,6/7/2024,101,18.1,Alive,Wound at base,2024,
28,148,Swan Creek,WA,6/7/2024,125,33.6,Alive,,2024,
29,149,Swan Creek,WA,6/7/2024,101,36.5,Alive,,2024,
30,150,Swan Creek,WA,6/7/2024,186,41.7,Alive,,2024,
,151,Swan Creek,WA,6/7/2024,103,17.8,Alive,,2024,
31,152,Swan Creek,WA,6/7/2024,113,21.5,Alive,,2024,
39,153,Swan Creek,WA,6/7/2024,95,16,Alive,,2024,
40,154,Swan Creek,WA,6/7/2024,94,14,Alive,,2024,
,155,Swan Creek,WA,6/7/2024,103,13.8,Dead,,2024,
,156,Swan Creek,WA,6/7/2024,,,Missing,,2024,
41,157,Swan Creek,WA,6/7/2024,111,16.1,Alive,,2024,
42,158,Swan Creek,WA,6/7/2024,94,10.8,Dying,,2024,
43,159,Swan Creek,WA,6/7/2024,120,24.8,Alive,,2024,
,160,Swan Creek,WA,6/7/2024,85,11,Dead,,2024,
44,161,Swan Creek,WA,6/7/2024,131,24.4,Alive,,2024,
,162,Swan Creek,WA,6/7/2024,,,Missing,,2024,
50,163,Swan Creek,WA,6/7/2024,98,23.7,Alive,,2024,
,164,Swan Creek,WA,6/7/2024,95,14.6,Dead,,2024,
,165,Swan Creek,WA,6/7/2024,,,Missing,,2024,
51,166,Swan Creek,WA,6/7/2024,130,31.8,Alive,,2024,
52,167,Swan Creek,WA,6/7/2024,124,21.4,Alive,,2024,
53,168,Swan Creek,WA,6/7/2024,131,13.2,Alive,,2024,
59,169,Swan Creek,WA,6/7/2024,124,21.9,Alive,,2024,
60,170,Swan Creek,WA,6/7/2024,108,17,Dying,,2024,
,171,Swan Creek,WA,6/7/2024,,,Missing,,2024,
61,172,Swan Creek,WA,6/7/2024,111,17.4,Alive,,2024,
62,173,Swan Creek,WA,6/7/2024,90,21.5,Alive,,2024,
63,174,Swan Creek,WA,6/7/2024,130,23.7,Alive,,2024,
64,175,Swan Creek,WA,6/7/2024,106,27.1,Alive,,2024,
,51,Tomanamus,OR,7/18/2024,,,,,2024,
,52,Tomanamus,OR,7/18/2024,,,,,2024,
,53,Tomanamus,OR,7/18/2024,,,,,2024,
,54,Tomanamus,OR,7/18/2024,,,,,2024,
,55,Tomanamus,OR,7/18/2024,,,,,2024,
,56,Tomanamus,OR,7/18/2024,,,,,2024,
,57,Tomanamus,OR,7/18/2024,,,,,2024,
,58,Tomanamus,OR,7/18/2024,,,,,2024,
,59,Tomanamus,OR,7/18/2024,,,,,2024,
,60,Tomanamus,OR,7/18/2024,,,,,2024,
,61,Tomanamus,OR,7/18/2024,,,,,2024,
,62,Tomanamus,OR,7/18/2024,,,,,2024,
,63,Tomanamus,OR,7/18/2024,,,,,2024,
,64,Tomanamus,OR,7/18/2024,,,,,2024,
,65,Tomanamus,OR,7/18/2024,,,,,2024,
,66,Tomanamus,OR,7/18/2024,,,,,2024,
,67,Tomanamus,OR,7/18/2024,,,,,2024,
,68,Tomanamus,OR,7/18/2024,,,,,2024,
,69,Tomanamus,OR,7/18/2024,,,,,2024,
,70,Tomanamus,OR,7/18/2024,,,,,2024,
,71,Tomanamus,OR,7/18/2024,,,,,2024,
,72,Tomanamus,OR,7/18/2024,,,,,2024,
,73,Tomanamus,OR,7/18/2024,,,,,2024,
,74,Tomanamus,OR,7/18/2024,,,,,2024,
,75,Tomanamus,OR,7/18/2024,,,,,2024,
264,76,Tomanamus,OR,7/18/2024,92,12.5,Alive,,2024,None
265,77,Tomanamus,OR,7/18/2024,139,11.7,Dying,,2024,None
266,78,Tomanamus,OR,7/18/2024,120,12.4,Alive,,2024,None
267,79,Tomanamus,OR,7/18/2024,131,12.3,Alive,,2024,None
268,80,Tomanamus,OR,7/18/2024,112,15.7,Alive,Browsed Middle,2024,None
